pos,pos+,artist,title,days,pk_,(x),streams,streams+,7day,7day+,total
77,12,David Guetta,I'm Good (Blue),569,1,(x1),1665889,190414,12048307,55998,1495535879
78,-4,The Neighbourhood,Sweater Weather,1387,19,,1663920,108771,11707503,-54988,2115885523
79,2,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,1923,1,(x16),1661847,145792,11738005,70452,3059545540
80,-8,Coldplay,Yellow,1176,29,,1656183,92781,12105699,-69619,1426216995
81,-1,Cigarettes After Sex,Apocalypse,591,69,,1614651,93642,11035243,-92164,736626091
82,8,Ariana Grande,true story,11,16,,1613318,138288,14339154,-1559072,28343907
83,-4,SZA,Kill Bill,466,1,(x20),1598186,73163,11426361,-177217,1697433030
84,-13,Manuel Turizo,La Bachata,625,3,(x3),1596245,10689,11933928,37810,1541501986
85,9,OneRepublic,I Ain't Worried,651,7,,1592662,153081,11613456,32024,1432469417
86,10,cassö,Prada,214,14,,1592545,166361,11722358,-30996,449178283
87,-1,James Arthur,Say You Won't Let Go,2175,6,,1577258,83759,11114749,86132,2144105769
88,28,Sabrina Carpenter,Nonsense,423,12,,1569657,222067,10975338,140895,605918841
89,-12,One Direction,Night Changes,705,23,,1563471,21592,10969218,112414,668249704
90,1,Sophie Ellis-Bextor,Murder On The Dancefloor,79,12,,1561599,87469,12081661,-241919,193200779
91,4,Taylor Swift,cardigan,468,1,(x4),1556060,128027,10898824,-8682,739156934
92,-5,Drake,Rich Baby Daddy,156,22,,1549170,62635,11324833,-45462,264316885
93,-15,The Walters,I Love You So,674,18,,1546770,19188,10933772,-30049,903110189
94,-2,Vance Joy,Riptide,1856,16,,1534799,74006,11201384,-53895,1506737902
95,3,Hotel Ugly,Shut up My Moms Calling,430,65,,1533483,123654,10454340,32799,539094536
96,5,Ariana Grande,i wish i hated you,11,24,,1532032,126688,13468540,-1524687,25797999
97,23,Kygo,Whatever,59,78,,1527356,197234,10870452,60114,89086278
98,9,OneRepublic,Counting Stars,1775,31,,1516405,137506,10796592,32060,1334352789
99,=,The Goo Goo Dolls,Iris,219,85,,1515666,108649,10662303,78979,254475803
100,9,Billie Eilish,lovely,2148,19,,1508873,142794,10356472,17598,2601781769
101,-4,KAROL G,CONTIGO,33,22,,1499669,74712,11946331,-327600,68818209
102,-9,a-ha,Take on Me,266,39,,1494070,50456,10907083,60772,313937798
103,1,Tyler The Creator,See You Again,380,13,,1484975,85579,10354611,33922,685599132
104,13,Dua Lipa,Dance The Night (From Barbie The Album),297,4,,1484342,138486,11154586,-116152,747801130
105,6,4batz,act ii: date @ 8,11,34,,1480738,122589,12132528,-487003,20747219
106,7,Zach Bryan,Something in the Orange,443,53,,1474470,121155,10251666,41471,566803749
107,-4,Fuerza Regida,TÚ NAME,16,102,,1472456,68390,10345783,84167,22694933
108,6,Ariana Grande,imperfect for you,11,28,,1464208,111060,12924855,-1385839,24328811
109,-26,Peso Pluma,BELLAKEO,101,8,,1462184,-52643,11574702,-214369,253319898
110,14,Travis Scott,MY EYES,131,7,,1450745,123863,10304018,-167824,207640053
111,-9,TV Girl,Lovers Rock,258,92,,1450461,45728,10031268,-23528,332868993
112,-12,LE SSERAFIM,EASY,29,52,,1448893,42704,10482998,-142377,51140383
113,12,Kanye West,Heartless,247,72,,1445119,120973,10324998,541,317964664
114,29,Yeat,Breathe,32,69,,1444284,176608,10347510,-193386,51796847
115,-10,Kali Uchis,Igual Que Un Ángel,67,8,,1439710,44816,10986528,-151433,183022200
116,25,Rihanna,We Found Love,439,18,,1437581,166869,10199516,19022,476102608
117,1,The Police,Every Breath You Take,886,52,,1436575,94335,10445253,60808,872180865
118,-36,V,Love Me Again,221,10,,1435325,-80447,11082296,-40712,385853908
119,11,The Chainsmokers,Something Just Like This,1382,2,(x14),1433631,145782,10124466,53029,1499225612
120,14,¥$,BURN,33,15,,1427641,146851,10325129,-151381,65470845
121,-2,Muni Long,Made For Me,32,97,,1423224,83325,10032262,-1495,45782937
122,-16,Ruth B.,Dandelions,915,32,,1421230,30993,10002372,49294,1242898069
123,-2,Travis Scott,goosebumps,1673,10,,1420238,90212,10030582,3564,1527092890
124,-2,Creedence Clearwater Revival,Have You Ever Seen The Rain,206,74,,1409377,80397,10537862,1708,265131224
125,4,Tate McRae,exes,121,20,,1406366,113390,10400412,-196710,216118994
126,25,Taylor Swift,august,396,4,,1405886,167666,7869099,132114,580610193
127,9,JID,Surround Sound,127,30,,1397920,119644,10280648,-96494,239738580
128,9,Imagine Dragons,Demons,1109,37,,1396698,119919,9885607,38852,741514741
129,-3,KAROL G,AMARGURA,303,50,,1387662,67709,10662275,-79910,453523872
130,1,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),143,1,(x3),1387113,102482,10003380,-23699,334075814
131,1,Bruno Mars,Just the Way You Are,496,32,,1384584,102116,9943329,-28650,513968963
132,1,iñigo quintero,Si No Estás,176,1,(x3),1383002,101766,10302815,-52823,544965565
133,-21,Bruno Mars,That's What I Like,718,5,,1379915,24595,10138589,51015,880484065
134,36,Linkin Park,In the End,329,8,,1373159,213876,9863867,30300,335336111
135,15,Macklemore & Ryan Lewis,Can't Hold Us,624,57,,1372287,131766,9635898,92852,711767859
